Pokemon Name,Character Replacement,Type 1,Type 2,Detail,Note
Bulbasaur,,Grass  ,Poison  ,,
Ivysaur,,Grass,Poison,,
Venusaur,,Grass,Poison,,
Charmander,,Fire,,,
Charmeleon,,Fire,,,
Charizard,,Fire,Flying,,
Squirtle,,Water,,,
Wartortle,,Water,,,
Blastoise,,Water,,,
Caterpie,,Bug,,,
Metapod,,Bug,,,
Butterfree,,Bug,Flying,,
Weedle,,Bug,Poison,,
Kakuna,,Bug,Poison,,
Beedrill,,Bug,Poison,,
Pidgey,,Normal,Flying,,
Pidgeotto,,Normal,Flying,,
Pidgeot,,Normal,Flying,,
Rattata,,,,,
Raticate,,,,,
Spearow,,,,,
Fearow,,,,,
Ekans,,,,,
Arbok,,,,,
Pikachu,,Electric,,,
Raichu,,Electric,,,
Sandshrew,,,,,
Sandslash,,,,,
Nidoran♀,,,,,
Nidorina,,,,,
Nidoqueen,,,,,
Nidoran♂,,,,,
Nidorino,,,,,
Nidoking,,,,,
Clefairy,,,,,
Clefable,,,,,
Vulpix,,,,,
Ninetales,,,,,
Jigglypuff,Honoka-R,Normal  ,,(doaxvv) swimsuit 1,Stats and move change
Wigglytuff,Honoka-SR,Normal  ,,(doaxvv) swimsuit 2,Stats and move change
Zubat,,,,,
Golbat,,,,,
Oddish,,,,,
Gloom,,,,,
Vileplume,,,,,
Paras,,,,,
Parasect,,,,,
Venonat,,,,,
Venomoth,,,,,
Diglett,,,,,
Dugtrio,,,,,
Meowth,,,,,
Persian,,,,,
Psyduck,,,,,
Golduck,,,,,
Mankey,,,,,
Primeape,,,,,
Growlithe,,,,,
Arcanine,,,,,
Poliwag,,,,,
Poliwhirl,,,,,
Poliwrath,,,,,
Abra,,,,,
Kadabra,,,,,
Alakazam,,,,,
Machop,,,,,
Machoke,,,,,
Machamp,,,,,
Bellsprout,,,,,
Weepinbell,,,,,
Victreebel,,,,,
Tentacool,,,,,
Tentacruel,,,,,
Geodude,,,,,
Graveler,,,,,
Golem,,,,,
Ponyta,,,,,
Rapidash,,,,,
Slowpoke,,,,,
Slowbro,,,,,
Magnemite,,,,,
Magneton,,,,,
Farfetch’d,,,,,
Doduo,,,,,
Dodrio,,,,,
Seel,,,,,
Dewgong,,,,,
Grimer,,,,,
Muk,,,,,
Shellder,,,,,
Cloyster,,,,,
Gastly,,,,,
Haunter,,,,,
Gengar,,,,,
Onix,,,,,
Drowzee,,,,,
Hypno,,,,,
Krabby,,,,,
Kingler,,,,,
Voltorb,,,,,
Electrode,,,,,
Exeggcute,,,,,
Exeggutor,,,,,
Cubone,,,,,
Marowak,,,,,
Hitmonlee,Striker-C,Fighting  ,,(DNFDuel) normal,Stats and move change
Hitmonchan,Striker-SR,Fighting  ,,(DNFDuel) bikini,Stats and move change
Lickitung,,,,,
Koffing,,,,,
Weezing,,,,,
Rhyhorn,,,,,
Rhydon,,,,,
Chansey,,,,,
Tangela,,,,,
Kangaskhan,,,,,
Horsea,,,,,
Seadra,,,,,
Goldeen,,,,,
Seaking,,,,,
Staryu,,,,,
Starmie,,,,,
Mr. Mime,,,,,
Scyther,,,,,
Jynx,,,,,
Electabuzz,,,,,
Magmar,,,,,
Pinsir,,,,,
Tauros,,,,,
Magikarp,,,,,
Gyarados,,,,,
Lapras,,,,,
Ditto,,,,,
Eevee,,,,,
Vaporeon,,,,,
Jolteon,,,,,
